a_o,c_digo_municipio,municipio,c_digo_departamento,departamento,c_digo_etc,etc,poblaci_n_5_16,tasa_matriculaci_n_5_16,cobertura_neta,cobertura_neta_transici_n,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_transici_n,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,tama_o_promedio_de_grupo,sedes_conectadas_a_internet,deserci_n,deserci_n_transici_n,deserci_n_primaria,deserci_n_secundaria,deserci_n_media,aprobaci_n,aprobaci_n_transici_n,aprobaci_n_primaria,aprobaci_n_secundaria,aprobaci_n_media,reprobaci_n,reprobaci_n_transici_n,reprobaci_n_primaria,reprobaci_n_secundaria,reprobaci_n_media,repitencia,repitencia_transici_n,repitencia_primaria,repitencia_secundaria,repitencia_media
2023,85162,Monterrey,85,Casanare,3825.0,Casanare (ETC),3766,84.97,84.97,64.06,82.43,78.9,48.52,93.02,80.94,91.41,102.42,84.43,,,3.26,2.52,1.69,5.43,2.44,88.9,0.0,94.79,79.93,90.95,7.84,0.0,3.52,14.64,6.6,6.05,1.26,5.43,9.54,0.49
2023,85139,Maní,85,Casanare,3825.0,Casanare (ETC),3721,90.54,90.54,78.85,90.13,72.39,37.33,98.01,100.0,106.63,100.91,67.29,,,5.93,6.73,4.53,8.48,3.53,87.48,0.0,89.22,81.16,94.87,6.6,0.0,6.24,10.36,1.6,8.83,2.88,7.71,13.66,3.53
2023,85136,La Salina,85,Casanare,3825.0,Casanare (ETC),372,56.18,56.18,41.67,57.55,43.38,32.88,60.75,54.17,67.63,56.62,57.53,,,4.87,0.0,1.06,12.99,0.0,91.59,0.0,94.68,83.12,97.62,3.54,0.0,4.26,3.9,2.38,12.39,15.38,11.7,12.99,11.9
2023,85125,Hato Corozal,85,Casanare,3825.0,Casanare (ETC),3462,90.5,90.5,63.61,87.2,72.09,34.94,105.05,95.58,111.78,111.39,78.37,,,5.64,2.14,5.09,7.72,3.97,82.73,1.07,84.92,76.01,84.39,11.62,1.07,9.99,16.27,11.64,13.5,2.49,11.99,19.23,9.79
2023,85015,Chameza,85,Casanare,3825.0,Casanare (ETC),521,72.36,72.36,52.27,74.55,70.69,54.22,74.09,54.55,78.18,77.59,66.27,,,1.04,0.0,0.0,2.96,0.0,96.37,0.0,99.42,91.85,96.36,2.59,0.0,0.58,5.19,3.64,2.85,0.0,1.74,5.93,0.0
2023,85010,Aguazul,85,Casanare,3825.0,Casanare (ETC),8078,91.27,91.21,59.85,88.62,81.42,53.65,99.59,85.52,99.64,107.88,89.88,,,3.23,4.8,2.62,4.02,2.33,89.36,0.0,93.13,82.74,91.54,7.41,0.0,4.24,13.24,6.13,7.63,1.6,6.51,11.33,4.65
2023,85001,Yopal,85,Casanare,4841.0,Yopal,36794,99.72,99.7,82.85,99.36,85.19,55.98,109.74,97.23,110.74,118.2,96.78,,,3.43,3.45,2.91,4.41,2.6,88.96,0.13,91.86,82.68,91.56,7.6,0.13,5.23,12.91,5.84,7.34,1.64,6.51,11.51,2.33
2023,81794,Tame,81,Arauca,3824.0,Arauca (ETC),12148,113.41,113.32,91.39,110.99,89.76,48.56,127.38,128.9,135.25,130.62,98.27,,,3.0,2.5,2.1,4.11,4.15,90.88,0.65,92.64,86.36,91.7,6.11,0.65,5.26,9.53,4.15,10.76,6.69,11.02,13.84,3.45
2023,81736,Saravena,81,Arauca,3824.0,Arauca (ETC),13808,86.57,86.56,68.16,83.54,67.44,45.17,98.23,98.79,102.46,94.28,94.9,,,3.58,3.14,3.6,3.98,2.75,89.5,0.46,91.26,83.9,91.67,6.92,0.46,5.15,12.12,5.58,8.22,5.81,9.24,9.24,2.98
2023,81591,Puerto Rondón,81,Arauca,3824.0,Arauca (ETC),1057,72.94,72.94,57.78,69.6,54.52,30.0,81.17,81.11,94.27,74.64,59.41,,,5.81,5.48,7.71,3.93,1.27,89.74,0.0,87.62,89.52,97.47,4.45,0.0,4.67,6.55,1.27,9.64,2.74,13.08,8.73,0.0
2023,81300,Fortul,81,Arauca,3824.0,Arauca (ETC),5600,85.25,85.25,60.41,77.78,63.47,44.07,94.41,100.82,103.94,89.91,73.88,,,5.23,5.3,4.18,7.28,4.24,84.94,1.69,84.1,81.69,90.34,9.83,1.69,11.72,11.02,5.42,13.25,12.5,18.3,9.19,3.39
2023,81220,Cravo Norte,81,Arauca,3824.0,Arauca (ETC),859,85.91,85.91,40.74,82.09,73.13,38.97,97.79,76.54,101.34,110.07,76.47,,,9.43,8.06,7.92,13.15,6.1,89.66,0.0,91.03,86.85,90.24,0.9,0.0,1.06,0.0,3.66,9.17,3.23,8.44,13.55,3.66
2023,81065,Arauquita,81,Arauca,3824.0,Arauca (ETC),14223,66.01,66.01,46.18,65.78,48.77,25.74,73.54,73.98,82.43,71.0,54.1,,,4.42,5.85,3.94,5.39,2.36,85.1,0.0,87.06,78.69,86.97,10.48,0.0,8.99,15.92,10.67,9.77,5.62,11.35,9.9,4.71
